ID,Bank branch,Funding type,Funding classification,Customer sector,Funding value,Installement value,Exchange date,Gender,Age,Social status,Special needs,Family members,Saving loan,Income
2006,Tabuk,Social,Marriage,Private sector employee,60000,< 1000,2019/01,Male,>= 30,Married,No,>= 02,No,>= 5000
2007,Tabuk,Social,Marriage,Private sector employee,60000,< 1000,2019/01,Male,>= 30,Married,No,>= 02,No,>= 7500
2008,Tabuk,Social,Marriage,Government employee,48000,< 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 7500
2009,Tabuk,Social,Marriage,Government employee,42000,< 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2010,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 10000
2011,Tabuk,Social,Marriage,Government employee,60000,< 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 10000
2012,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2013,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 7500
2014,Jeddah,Social,Family,Private sector employee,60000,>= 1000,2019/02,Male,>= 40,Married,No,>= 05,No,>= 5000
2015,Jeddah,Social,Family,Private sector employee,60000,>= 1000,2019/02,Male,>= 40,Married,No,>= 05,No,
2016,Tabuk,Social,Marriage,Private sector employee,60000,>= 1000,2019/03,Male,< 30,Married,No,>= 02,No,>= 7500
2017,Tabuk,Social,Marriage,Private sector employee,60000,>= 1000,2019/03,Male,< 30,Married,No,>= 02,No,>= 10000
2018,Tabuk,Project,Emerging,NULL,223000,>= 1000,2019/02,Male,< 30,Single,No,< 02,No,< 5000
2019,Tabuk,Social,Family,NULL,60000,< 1000,2019/03,Female,>= 40,Widow,No,>= 05,No,< 5000
2020,Tabuk,Social,Family,NULL,60000,< 1000,2019/03,Female,>= 40,Widow,No,>= 05,No,>= 10000
2021,Tabuk,Project,Solution,NULL,156000,>= 1000,2019/02,Male,< 30,Single,No,< 02,No,< 5000
2022,Tabuk,Social,Marriage,NULL,30000,< 1000,2019/03,Male,< 30,Married,No,>= 02,Yes,< 5000
2023,Tabuk,Social,Marriage,NULL,30000,< 1000,2019/03,Male,< 30,Married,No,>= 02,Yes,>= 10000
2024,Tabuk,Project,Emerging,NULL,210000,>= 1000,2019/01,Male,< 30,Single,No,< 02,No,< 5000
2025,Tabuk,Project,Solution,NULL,140000,>= 1000,2019/01,Female,< 30,Single,No,,No,
2026,Tabuk,Social,Family,Government retired,60000,>= 1000,2019/02,Male,>= 40,Married,No,>= 10,No,>= 10000
2027,Tabuk,Social,Family,Government retired,60000,>= 1000,2019/02,Male,>= 40,Married,No,>= 10,No,>= 5000
2028,Tabuk,Social,Marriage,NULL,60000,>= 1000,2019/03,Male,< 30,Married,No,>= 02,No,< 5000
2029,Tabuk,Social,Marriage,NULL,60000,>= 1000,2019/03,Male,< 30,Married,No,>= 02,No,>= 7500
2030,Tabuk,Social,Marriage,Government employee,60000,< 1000,2019/03,Male,< 30,Married,No,>= 02,Yes,>= 7500
2031,Tabuk,Social,Family,NULL,60000,>= 1000,2019/02,Female,>= 60,Divorced,No,>= 05,No,>= 10000
2032,Tabuk,Social,Family,NULL,60000,>= 1000,2019/02,Female,>= 60,Divorced,No,>= 05,No,< 5000
2033,Tabuk,Social,Marriage,Government employee,18000,< 1000,2019/03,Male,< 30,Married,No,>= 02,No,>= 10000
2034,Tabuk,Social,Marriage,Private sector employee,60000,>= 1000,2019/01,Male,>= 30,Married,No,>= 02,No,>= 10000
2035,Tabuk,Project,Emerging,NULL,167000,>= 1000,2019/02,Male,< 30,Single,No,< 02,No,< 5000
2036,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2037,Tabuk,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 5000
2038,Tabuk,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 10000
2039,Tabuk,Project,Emerging,NULL,160000,>= 1000,2019/02,Female,>= 30,Married,No,< 02,No,< 5000
2040,Riyadh,Social,Family,Government employee,60000,>= 1000,2019/02,Female,>= 30,Married,No,>= 05,No,
2041,Tabuk,Project,Emerging,NULL,145000,>= 1000,2019/02,Female,< 30,Married,No,,No,
2042,Tabuk,Transfer,Taxi cab,NULL,77360,>= 1000,2019/01,Male,>= 30,Married,No,< 02,No,>= 10000
2043,Tabuk,Transfer,Taxi cab,NULL,77360,>= 1000,2019/01,Male,>= 30,Married,No,< 02,No,< 5000
2044,Tabuk,Social,Family,NULL,60000,>= 1000,2019/01,Female,>= 40,Widow,No,>= 02,No,< 5000
2045,Tabuk,Social,Family,NULL,60000,>= 1000,2019/01,Female,>= 40,Widow,No,>= 02,No,>= 10000
2046,Tabuk,Social,Marriage,Government company employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2047,Tabuk,Social,Marriage,Government employee,54000,< 1000,2019/03,Male,< 30,Married,No,>= 02,No,>= 7500
2048,Tabuk,Social,Family,NULL,60000,>= 1000,2019/02,Male,>= 40,Married,No,>= 10,No,< 5000
2049,Tabuk,Social,Family,NULL,60000,>= 1000,2019/02,Male,>= 40,Married,No,>= 10,No,>= 7500
2050,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2051,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 5000
2052,Tabuk,Social,Marriage,Government employee,42000,< 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 7500
2053,Tabuk,Social,Marriage,NULL,60000,< 1000,2019/02,Male,>= 30,Married,No,>= 02,No,< 5000
2054,Tabuk,Social,Marriage,NULL,60000,< 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 10000
2055,Tabuk,Social,Marriage,Government employee,18000,< 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 7500
2056,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 5000
2057,Tabuk,Social,Family,NULL,60000,>= 1000,2019/02,Female,>= 30,Divorced,No,>= 02,No,>= 10000
2058,Tabuk,Social,Family,NULL,60000,>= 1000,2019/02,Female,>= 30,Divorced,No,>= 02,No,< 5000
2059,Tabuk,Social,Family,Government retired,60000,>= 1000,2019/02,Male,>= 40,Married,No,>= 05,No,>= 7500
2060,Tabuk,Social,Family,Government retired,60000,>= 1000,2019/02,Male,>= 40,Married,No,>= 05,No,>= 5000
2061,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2062,Tabuk,Social,Family,Government retired,60000,< 1000,2019/03,Male,>= 60,Married,No,>= 02,No,< 5000
2063,Tabuk,Social,Family,Government retired,60000,< 1000,2019/03,Male,>= 60,Married,No,>= 02,No,>= 10000
2064,Tabuk,Social,Family,NULL,60000,>= 1000,2019/02,Female,>= 40,Divorced,No,>= 10,No,>= 10000
2065,Tabuk,Social,Family,NULL,60000,>= 1000,2019/02,Female,>= 40,Divorced,No,>= 10,No,< 5000
2066,Tabuk,Project,Solution,NULL,187000,>= 1000,2019/01,Male,< 30,Single,No,< 02,No,< 5000
2067,Tabuk,Social,Marriage,NULL,24000,< 1000,2019/03,Male,< 30,Married,No,>= 02,No,>= 7500
2068,Tabuk,Social,Marriage,NULL,24000,< 1000,2019/03,Male,< 30,Married,No,>= 02,No,< 5000
2069,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 7500
2070,Tabuk,Social,Family,NULL,60000,< 1000,2019/03,Female,>= 30,Divorced,No,>= 02,No,>= 10000
2071,Tabuk,Social,Family,NULL,60000,< 1000,2019/03,Female,>= 30,Divorced,No,>= 02,No,< 5000
2072,Tabuk,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 02,No,< 5000
2073,Tabuk,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 10000
2074,Jeddah,Social,Family,Private sector employee,42000,< 1000,2019/01,Male,>= 40,Married,No,>= 05,No,>= 5000
2075,Jeddah,Social,Family,Private sector employee,42000,< 1000,2019/01,Male,>= 40,Married,No,>= 05,No,>= 7500
2076,Tabuk,Project,Emerging,NULL,172000,>= 1000,2019/03,Male,< 30,Single,No,< 02,No,< 5000
2077,Tabuk,Social,Family,Government retired,42000,< 1000,2019/02,Male,>= 60,Married,No,>= 05,No,< 5000
2078,Tabuk,Social,Family,Government retired,42000,< 1000,2019/02,Male,>= 60,Married,No,>= 05,No,>= 7500
2079,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2080,Tabuk,Social,Marriage,Government employee,48000,< 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 7500
2081,Tabuk,Social,Marriage,Private sector employee,42000,< 1000,2019/01,Male,>= 30,Married,No,>= 02,No,< 5000
2082,Tabuk,Social,Marriage,Private sector employee,42000,< 1000,2019/01,Male,>= 30,Married,No,>= 02,No,>= 10000
2083,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 7500
2084,Jeddah,Social,Family,Government retired,60000,>= 1000,2019/02,Male,>= 40,Married,No,>= 05,No,>= 5000
2085,Jeddah,Social,Family,Government retired,60000,>= 1000,2019/02,Male,>= 40,Married,No,>= 05,No,>= 10000
2086,Tabuk,Social,Marriage,Government employee,30000,< 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2087,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 7500
2088,Tabuk,Social,Marriage,Private sector employee,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 5000
2089,Tabuk,Social,Marriage,Private sector employee,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 7500
2090,Tabuk,Social,Marriage,Government employee,54000,< 1000,2019/03,Male,< 30,Married,No,>= 02,No,>= 7500
2091,Tabuk,Social,Marriage,Government employee,60000,< 1000,2019/03,Male,< 30,Married,No,>= 02,No,>= 7500
2092,Tabuk,Project,Emerging,NULL,160000,>= 1000,2019/02,Female,< 30,Single,No,< 02,No,< 5000
2093,Tabuk,Social,Marriage,Government employee,60000,< 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2094,Tabuk,Social,Family,Private sector employee,18000,< 1000,2019/02,Male,>= 40,Married,No,>= 02,No,>= 5000
2095,Tabuk,Social,Family,Private sector employee,18000,< 1000,2019/02,Male,>= 40,Married,No,>= 02,No,< 5000
2096,Tabuk,Social,Marriage,Government employee,60000,< 1000,2019/03,Male,< 30,Married,No,>= 02,No,>= 7500
2097,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2098,Tabuk,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,< 5000
2099,Tabuk,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 10000
2100,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2101,Tabuk,Social,Marriage,Private sector employee,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 10000
2102,Tabuk,Social,Marriage,Private sector employee,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 5000
2103,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 10000
2104,Tabuk,Social,Marriage,NULL,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 5000
2105,Tabuk,Social,Marriage,NULL,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,< 5000
2106,Tabuk,Transfer,Taxi cab,NULL,99935,>= 1000,2019/01,Male,>= 30,Single,No,< 02,No,>= 10000
2107,Tabuk,Transfer,Taxi cab,NULL,99935,>= 1000,2019/01,Male,>= 30,Single,No,< 02,No,< 5000
2108,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2109,Tabuk,Social,Marriage,NULL,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 10000
2110,Tabuk,Social,Marriage,NULL,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,< 5000
2111,Tabuk,Social,Family,Government retired,60000,< 1000,2019/01,Male,>= 40,Married,No,>= 05,No,>= 10000
2112,Tabuk,Social,Family,Government retired,60000,< 1000,2019/01,Male,>= 40,Married,No,>= 05,No,>= 7500
2113,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/03,Male,< 30,Married,No,>= 02,No,>= 7500
2114,Tabuk,Social,Family,NULL,60000,>= 1000,2019/02,Female,>= 30,Divorced,No,>= 05,No,< 5000
2115,Tabuk,Social,Family,NULL,60000,>= 1000,2019/02,Female,>= 30,Divorced,No,>= 05,No,>= 10000
2116,Tabuk,Social,Marriage,Private sector employee,42000,< 1000,2019/02,Male,< 30,Married,No,>= 02,Yes,>= 10000
2117,Tabuk,Social,Marriage,Private sector employee,42000,< 1000,2019/02,Male,< 30,Married,No,>= 02,Yes,< 5000
2118,Tabuk,Project,Solution,NULL,126000,>= 1000,2019/01,Female,>= 40,Married,No,,No,
2119,Tabuk,Social,Family,NULL,60000,>= 1000,2019/02,Female,< 30,Divorced,No,>= 02,No,< 5000
2120,Tabuk,Social,Family,NULL,60000,>= 1000,2019/02,Female,< 30,Divorced,No,>= 02,No,>= 10000
2121,Jeddah,Social,Family,Government employee,60000,>= 1000,2019/02,Male,>= 40,Married,No,>= 05,No,>= 10000
2122,Tabuk,Social,Marriage,Government employee,30000,< 1000,2019/01,Male,>= 30,Married,No,>= 02,No,>= 7500
2123,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 5000
2124,Tabuk,Social,Marriage,Government company employee,24000,< 1000,2019/02,Male,< 30,Married,No,>= 02,Yes,>= 10000
2125,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 10000
2126,Tabuk,Social,Family,Government retired,60000,>= 1000,2019/01,Male,>= 40,Married,No,>= 05,No,>= 7500
2127,Tabuk,Social,Family,Government retired,60000,>= 1000,2019/01,Male,>= 40,Married,No,>= 05,No,>= 10000
2128,Tabuk,Social,Family,NULL,60000,< 1000,2019/03,Female,>= 40,Widow,No,>= 02,No,< 5000
2129,Tabuk,Social,Family,NULL,60000,< 1000,2019/03,Female,>= 40,Widow,No,>= 02,No,>= 10000
2130,Tabuk,Social,Family,Government retired,60000,>= 1000,2019/02,Male,>= 60,Married,No,>= 02,No,< 5000
2131,Tabuk,Social,Family,Government retired,60000,>= 1000,2019/02,Male,>= 60,Married,No,>= 02,No,>= 7500
2132,Tabuk,Social,Marriage,Government employee,48000,< 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 5000
2133,Tabuk,Social,Marriage,NULL,60000,< 1000,2019/03,Male,>= 30,Married,No,>= 02,No,>= 10000
2134,Tabuk,Social,Marriage,NULL,60000,< 1000,2019/03,Male,>= 30,Married,No,>= 02,No,< 5000
2135,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2136,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2137,Tabuk,Social,Marriage,Government employee,60000,< 1000,2019/01,Male,< 30,Married,No,>= 02,Yes,< 5000
2138,Tabuk,Social,Family,NULL,60000,>= 1000,2019/02,Female,>= 40,Widow,No,>= 02,No,< 5000
2139,Tabuk,Social,Family,NULL,60000,>= 1000,2019/02,Female,>= 40,Widow,No,>= 02,No,>= 10000
2140,Tabuk,Social,Marriage,NULL,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 10000
2141,Tabuk,Social,Marriage,NULL,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,< 5000
2142,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2143,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2144,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2145,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2146,Tabuk,Social,Marriage,Government employee,24000,< 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2147,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 7500
2148,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2149,Tabuk,Social,Family,Government employee,24000,< 1000,2019/01,Male,>= 30,Married,No,>= 02,No,>= 5000
2150,Tabuk,Social,Marriage,Government employee,60000,< 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 7500
2151,Tabuk,Social,Marriage,Government employee,42000,< 1000,2019/03,Male,< 30,Married,No,>= 02,Yes,>= 7500
2152,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,Yes,>= 7500
2153,Tabuk,Social,Marriage,Government employee,60000,< 1000,2019/03,Male,< 30,Married,No,>= 02,No,>= 7500
2154,Tabuk,Social,Marriage,Government employee,48000,< 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 5000
2155,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,Yes,>= 7500
2156,Tabuk,Social,Marriage,Government employee,42000,< 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2157,Tabuk,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2158,Tabuk,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 10000
2159,Tabuk,Social,Family,NULL,60000,>= 1000,2019/01,Female,>= 60,Widow,No,>= 10,No,>= 10000
2160,Tabuk,Social,Family,NULL,60000,>= 1000,2019/01,Female,>= 60,Widow,No,>= 10,No,< 5000
2161,Tabuk,Social,Marriage,Government employee,54000,< 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2162,Tabuk,Social,Family,Government employee,60000,< 1000,2019/03,Male,>= 30,Married,No,>= 05,No,>= 7500
2163,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/01,Male,>= 30,Married,No,>= 02,Yes,>= 7500
2164,Tabuk,Social,Marriage,NULL,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,< 5000
2165,Tabuk,Social,Marriage,NULL,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 10000
2166,Tabuk,Social,Family,NULL,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 10000
2167,Tabuk,Social,Family,NULL,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 02,No,< 5000
2168,Tabuk,Social,Marriage,Government employee,18000,< 1000,2019/03,Male,< 30,Married,No,>= 02,No,>= 7500
2169,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/03,Male,< 30,Married,No,>= 02,No,>= 7500
2170,Tabuk,Social,Marriage,Private sector employee,60000,< 1000,2019/03,Male,< 30,Married,No,>= 02,No,>= 10000
2171,Tabuk,Social,Marriage,Private sector employee,60000,< 1000,2019/03,Male,< 30,Married,No,>= 02,No,>= 5000
2172,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 7500
2173,Tabuk,Social,Family,NULL,60000,< 1000,2019/01,Female,>= 60,Widow,No,>= 02,No,>= 5000
2174,Tabuk,Social,Family,NULL,60000,< 1000,2019/01,Female,>= 60,Widow,No,>= 02,No,< 5000
2175,Tabuk,Social,Marriage,Government employee,36000,< 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2176,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 7500
2177,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,Yes,>= 7500
2178,Tabuk,Social,Marriage,Government employee,18000,< 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 5000
2179,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 7500
2180,Tabuk,Social,Marriage,Government employee,18000,< 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 7500
2181,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 7500
2182,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2183,Tabuk,Social,Family,Government retired,48000,< 1000,2019/03,Male,>= 60,Married,No,>= 10,No,>= 5000
2184,Tabuk,Social,Family,Government retired,48000,< 1000,2019/03,Male,>= 60,Married,No,>= 10,No,< 5000
2185,Tabuk,Social,Marriage,Government employee,24000,< 1000,2019/02,Male,< 30,Married,No,>= 02,Yes,>= 7500
2186,Tabuk,Social,Marriage,Private sector employee,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 10000
2187,Tabuk,Social,Marriage,Private sector employee,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 5000
2188,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/01,Male,>= 30,Married,No,>= 02,No,>= 5000
2189,Tabuk,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2190,Tabuk,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 5000
2191,Tabuk,Social,Marriage,Government employee,60000,< 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 5000
2192,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 5000
2193,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2194,Tabuk,Social,Family,NULL,60000,< 1000,2019/01,Male,>= 60,Married,No,>= 10,No,< 5000
2195,Tabuk,Social,Marriage,Government employee,60000,< 1000,2019/03,Male,>= 30,Married,No,>= 02,No,>= 7500
2196,Tabuk,Social,Family,NULL,60000,< 1000,2019/02,Male,>= 60,Married,No,>= 05,No,>= 10000
2197,Tabuk,Social,Family,NULL,60000,< 1000,2019/02,Male,>= 60,Married,No,>= 05,No,< 5000
2198,Tabuk,Social,Marriage,NULL,60000,>= 1000,2019/02,Male,>= 40,Married,No,>= 02,No,>= 10000
2199,Tabuk,Social,Marriage,NULL,60000,>= 1000,2019/02,Male,>= 40,Married,No,>= 02,No,< 5000
2200,Tabuk,Social,Marriage,Private sector employee,60000,>= 1000,2019/03,Male,< 30,Married,No,>= 02,Yes,>= 10000
2201,Tabuk,Social,Marriage,Private sector employee,60000,>= 1000,2019/03,Male,< 30,Married,No,>= 02,Yes,>= 5000
2202,Tabuk,Social,Family,NULL,54000,< 1000,2019/02,Female,>= 40,Divorced,No,>= 02,No,< 5000
2203,Tabuk,Social,Family,NULL,54000,< 1000,2019/02,Female,>= 40,Divorced,No,>= 02,No,>= 7500
2204,Tabuk,Social,Marriage,Government employee,60000,< 1000,2019/03,Male,< 30,Married,No,>= 02,No,>= 7500
2205,Tabuk,Social,Family,Private sector employee,42000,< 1000,2019/02,Female,>= 30,Divorced,No,>= 02,Yes,< 5000
2206,Tabuk,Social,Family,Private sector employee,42000,< 1000,2019/02,Female,>= 30,Divorced,No,>= 02,Yes,>= 7500
2207,Tabuk,Social,Marriage,Government company employee,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 7500
2208,Hail,Project,Fresh graduate,NULL,265000,>= 1000,2019/03,Female,< 30,Single,No,< 02,No,< 5000
2209,Jeddah,Social,Family,NULL,36000,< 1000,2019/03,Male,>= 40,Married,No,>= 05,No,< 5000
2210,Jeddah,Social,Family,NULL,36000,< 1000,2019/03,Male,>= 40,Married,No,>= 05,No,>= 10000
2211,Jeddah,Social,Family,Government employee,60000,>= 1000,2019/01,Male,>= 40,Married,No,>= 05,No,>= 10000
2212,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/01,Male,>= 30,Married,No,>= 02,No,>= 7500
2213,Tabuk,Social,Marriage,Government employee,18000,< 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2214,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2215,Tabuk,Social,Marriage,Government employee,42000,< 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 7500
2216,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2217,Tabuk,Social,Marriage,Government employee,30000,< 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2218,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 7500
2219,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 5000
2220,Tabuk,Social,Marriage,Government employee,18000,< 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2221,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2222,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 7500
2223,Tabuk,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 10000
2224,Tabuk,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,< 5000
2225,Tabuk,Social,Marriage,Government employee,60000,< 1000,2019/01,Male,>= 30,Married,No,>= 02,No,>= 7500
2226,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2227,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 05,Yes,>= 7500
2228,Tabuk,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 7500
2229,Riyadh,Social,Marriage,Government employee,60000,< 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 10000
2230,Tabuk,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 7500
2231,Tabuk,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 10000
2232,Tabuk,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 5000
2233,Tabuk,Social,Marriage,Government company employee,60000,< 1000,2019/01,Male,>= 30,Married,No,>= 02,Yes,>= 5000
2234,Tabuk,Social,Marriage,Government employee,60000,< 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
2235,Tabuk,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
